               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.11076,             0.18305,              0.0302,             0.31262,             0.18274,             0.16349,            0.073863,             0.10124,             0.22278,            0.036648,            0.002872,            0.002872,            0.002872
                  38,             0.11134,             0.17354,            0.029747,             0.32472,             0.18061,             0.16461,            0.075455,             0.10093,              0.2203,            0.036612,            0.002674,            0.002674,            0.002674
                  39,             0.11012,             0.17335,            0.030103,             0.33086,             0.18714,             0.16681,            0.076566,               0.101,             0.22087,            0.036447,            0.002476,            0.002476,            0.002476
                  40,             0.11041,             0.17602,            0.030099,             0.33868,              0.1846,             0.16705,            0.076654,             0.10092,             0.22126,            0.036498,            0.002278,            0.002278,            0.002278
                  41,             0.11119,             0.18627,             0.02961,             0.34929,             0.18953,             0.17133,            0.077566,             0.10103,             0.22047,            0.036497,             0.00208,             0.00208,             0.00208
                  42,             0.11106,             0.18209,            0.029806,             0.34023,             0.18874,             0.17104,            0.078602,              0.1007,             0.22038,             0.03636,            0.001882,            0.001882,            0.001882
                  43,             0.11004,             0.17722,            0.030602,             0.32945,             0.19309,             0.16893,            0.077655,             0.10082,             0.22118,            0.036442,            0.001684,            0.001684,            0.001684
                  44,             0.11026,             0.17423,            0.029441,             0.33175,             0.19009,             0.16804,            0.077206,             0.10081,             0.22155,            0.036433,            0.001486,            0.001486,            0.001486
                  45,             0.10952,             0.17688,            0.029663,             0.34066,             0.18988,             0.16813,            0.076632,             0.10082,              0.2227,              0.0365,            0.001288,            0.001288,            0.001288
                  46,             0.11129,             0.18121,            0.028978,             0.32934,             0.19348,               0.172,            0.078806,             0.10065,             0.22175,            0.036263,             0.00109,             0.00109,             0.00109
                  47,             0.10935,             0.17491,            0.029922,             0.32058,              0.1966,             0.17143,            0.078651,             0.10059,             0.22172,            0.036238,            0.000892,            0.000892,            0.000892
                  48,              0.1088,             0.17548,            0.028698,             0.33171,             0.19599,             0.17115,            0.078672,             0.10063,             0.22183,            0.036251,            0.000694,            0.000694,            0.000694
                  49,             0.10956,             0.17675,             0.02873,             0.34458,             0.19315,             0.17373,            0.079365,             0.10056,             0.22196,            0.036223,            0.000496,            0.000496,            0.000496
